perturbation,mse,pearson,mse_de,pearson_de
AHR+KLF1,0.013225455,0.9675351875859612,0.29898602,0.9175180517631816
ARID1A+ctrl,0.0039496287,0.9877580824175329,0.18247283,0.9403387109632604
BCL2L11+BAK1,0.0007282359,0.9977918413341395,0.007748486,0.9809945072629489
BCL2L11+TGFBR2,0.001225686,0.9966986590023642,0.047867008,0.968715381983202
BCL2L11+ctrl,0.0012663564,0.9961422083845151,0.013085252,0.9567526533501223
BCORL1+ctrl,0.0038193702,0.9904774738857105,0.06983086,0.9704985525859229
C3orf72+FOXL2,0.0044848877,0.9862657137006884,0.006644859,0.0
C3orf72+ctrl,0.002718315,0.9915409340211374,0.15849243,0.9807102658087388
CBL+CNN1,0.005862114,0.9844215766919961,0.3101822,0.949417681171326
CBL+PTPN12,0.0053927577,0.9867984492667192,0.10917534,0.9720157673582435
CBL+PTPN9,0.010510726,0.9746270186379421,0.21074441,0.9483468675680342
CBL+TGFBR2,0.003803458,0.9892317669292767,0.3036641,0.9600197229301557
CBL+UBASH3A,0.003769099,0.9899126458166916,0.00544963,0.0
CBL+UBASH3B,0.006659539,0.9825283611001105,0.34563577,0.9246960188029334
CBL+ctrl,0.0037676755,0.9912457100308121,0.10867462,0.9645495400036452
CDKN1A+ctrl,0.0023834123,0.9928273821030654,0.037634943,0.98474809108302
CDKN1B+CDKN1A,0.013899227,0.9666041271705887,0.019851614,0.9942059676395729
CDKN1B+ctrl,0.004300317,0.9882400163533369,0.10316467,0.9723988652258413
CDKN1C+CDKN1A,0.010355423,0.9736931479199709,0.10803504,0.9764167233370245
CDKN1C+CDKN1B,0.015411014,0.96283080409575,0.051104046,0.9915958827186842
CDKN1C+ctrl,0.0036676144,0.9893292542182359,0.1974206,0.9615187782619614
CEBPB+CEBPA,0.016215062,0.9670341147490773,0.0411259,0.9253265533479862
CEBPB+MAPK1,0.007516714,0.9794154634592294,0.542887,0.8555066559383704
CEBPB+OSR2,0.014628189,0.9594278340646605,0.5633109,0.7887496417679358
CEBPB+PTPN12,0.0036187745,0.9896136747144311,0.17915663,0.9712521544861374
CEBPB+ctrl,0.0071924096,0.9837301242061667,0.15310591,0.9486609003324702
CEBPE+CEBPB,0.008831238,0.9750294520314111,0.22242823,0.8964702636003494
CEBPE+CNN1,0.0048749377,0.9849898543256366,0.23741893,0.9266868705744855
CEBPE+KLF1,0.007236173,0.9824264514307968,0.28777224,0.920019299883279
CEBPE+SPI1,0.0167251,0.9496506191415066,1.0267478,0.5481961411423981
CELF2+ctrl,0.0017518312,0.9953430019689327,0.09951084,0.9606388188331039
CKS1B+ctrl,0.0038716348,0.9881804698929662,0.33437288,0.9421502569894074
CNN1+MAPK1,0.008733748,0.9745086458936987,0.19334306,0.908673752885079
COL2A1+ctrl,0.00808019,0.9785526767126528,0.47790083,0.43773007835261524
DUSP9+ETS2,0.0035019969,0.9905622325621629,0.1902087,0.9556223581457743
DUSP9+IGDCC3,0.004461444,0.9861241980851907,0.39332822,0.8829649423714727
